"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","савченко","the","общий","the","год"
"2","эксперт","back","понимать","world","депутат"
"3","говорить","episode","смерть","jurassic","находить"
"4","задерживать","future","суд","дело","муж"
"5","суд","прокурор","год","умирать","бобровская"
"6","смотреть","видео","all","age","взрываться"
"7","прокурор","discusses","apes","avengers","должный"
"8","война","films","girl","tbt","жить"
"9","вызывать","star","gone","ultron","новосибирский"
"10","дальнобойщик","дальнобойщик","jingle","мужик","пенсионер"
"11","действие","день","magic","подросток","топор"
"12","донецк","ока","mike","время","россия"
"13","допрос","савченко","planet","полицейский","полицейский"
"14","избиение","day","way","вера","дело"
"15","обещать","part","xxl","википедия","black"
"16","просить","wars","аля","возбуждать","frozen"
"17","сотрудник","автобус","время","граната","swan"
"18","видео","апендицит","высокий","закидывать","автомобиль"
"19","адвокат","газпром","голос","игорь","гранат"
"20","акция","екатеринбург","знать","камень","дорога"
"21","взятка","ждать","мир","мент","заводить"
"22","избивать","казаться","нравиться","москва","карельский"
"23","мужик","момент","поговорка","нога","машина"
"24","начинать","называть","правильно","орать","место"
"25","начинаться","нежность","работать","повод","молитва"
"26","нижегородец","нефть","сажать","помнить","определяться"
"27","нормальный","отвод","самарский","помогать","оставаться"
"28","обкрадывать","сотрудник","снижение","прямо","погибать"
"29","объявлять","суд","убеждать","ребенок","подумать"
"30","перспектива","твит","прокурор","самый","полный"
"31","показание","пытаться","alvin","семейный","последний"
"32","приезжать","arlington","ark","ссора","реальный"
"33","путь","attack","bedtime","турция","ребенок"
"34","рука","backtofutureday","blackfriday","уголовный","рука"
"35","спирин","big","blues","хотеть","сделать"
"36","стоять","blair","break","колония","сепаратизм"
"37","страна","book","brothers","america","стул"
"38","убийство","brettfavre","chipmunks","amp","тысяча"
"39","учет","catching","dawn","avenger","фашист"
"40","ходатайство","centipede","djсессий","aviator","условно"
"41","овд","chappie","extinction","budapest","запрашивать"
"42","колония","cinderella","jam","captain","единый"
"43","daily","clones","kazaam","cats","ока"
"44","inside","crank","lexx","checks","alien"
"45","out","creep","lost","dark","almighty"
"46","автор","director","maleficent","dogs","american"
"47","александр","discuss","minions","dunston","beautiful"
"48","арестовывать","earth","ninjas","eternal","being"
"49","басманный","elf","point","exorcist","bridesmaids"
"50","беспредельный","eyes","raiders","expendables","bruce"
"51","бессрочный","fire","rise","first","creed"
"52","бой","flythew","rounders","frog","eclipse"
"53","бывать","games","sims","galore","fifty"
"54","важный","gremlins","slave","godfather","finding"
"55","вводный","groundhog","space","grand","ghostbusters"
"56","вернуть","halloween","squeakquel","hotel","grey"
"57","витишко","high","stories","insidious","john"
"58","вместе","hope","tbt","internship","life"
"59","возможный","human","transformers","king","malkovich"
"60","волокита","hunger","vendetta","kitty","nemo"
"61","всетака","john","vforvendetta","marvels","rocky"
"62","встреча","lego","woodcarver","mind","saga"
"63","вчера","listen","wwjd","muppets","shades"
"64","высоко","machina","years","mutant","sniper"
"65","глебушка","man","август","network","story"
"66","год","melt","активист","ninja","street"
"67","голова","mothman","беспокоиться","petersburg","toy"
"68","голодовка","movie","биокорабль","power","twilight"
"69","гореть","national","вич","princess","wall"
"70","громко","new","включать","quest","wolf"
"71","группа","nightmare","вновь","revenge","агнец"
"72","губашев","overnight","возобновлять","saint","айсберг"
"73","давать","philip","воспринимать","saw","акт"
"74","давление","project","врач","scorpion","альтернативный"
"75","дальнобой","prophecies","выветривать","social","аля"
"76","данный","queen","выигрывать","spotless","бесконечный"
"77","девушка","road","выставка","sunshine","близко"
"78","доска","room","галлюцинация","teenage","блять"
"79","достойный","secrets","геймплей","thor","бог"
"80","дпс","thehungergames","глава","tomorrowland","боженька"
"81","ебнуться","today","говорить","turtles","верный"
"82","забайкалье","treasure","голова","war","взрыв"
"83","закон","trek","гражданин","автомобилист","владимир"
"84","зануда","uncle","грядущий","автомобильный","вопрос"
"85","застывший","voltage","датура","агора","время"
"86","зашивать","wick","деградировать","александр","врываться"
"87","золовкуинвалид","witch","депрессия","антиутопия","второй"
"88","зэк","with","долг","аргументировать","вчера"
"89","игнорировать","you","должный","блокировать","выкидывать"
"90","калининград","автозак","жалоба","больница","выступление"
"91","канал","адвокат","забивать","больно","выход"
"92","капитан","адский","задерживать","бывший","гармоничность"
"93","карикатурный","аудиенция","занимать","валис","гибель"
"94","кашина","аутотренинг","занятый","вариант","главное"
"95","квартира","безопасность","звук","верить","город"
"96","кисть","безразличие","износ","взгляд","граната"
"97","кокуйка","безумие","изучать","видео","гугл"
"98","командир","больница","интересно","возглавлять","давать"
"99","комментарий","бывать","интернет","втыкать","дада"
"100","конкретный","ватничество","интригующий","вудумагия","делать"
